nameWithOwner,classes_n,total_loc,total_comment_lines,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
elunez/eladmin,282.0,8070.0,,8.01418439716312,5.0,7.683217200927227,1.1631205673758864,1.0,0.44839156558518495,6.25886524822695,0.0,19.56357487917154
CarGuo/GSYVideoPlayer,674.0,32667.0,,5.326409495548962,2.0,6.77884458403284,1.543026706231454,1.0,1.4805586198874943,52.345697329376854,0.0,301.41951052674847
brettwooldridge/HikariCP,185.0,11464.0,,4.383783783783784,3.0,4.196110615894505,1.2864864864864864,1.0,0.6586226414144777,172.67027027027027,0.0,1408.661311174716
didi/DoKit,1571.0,80541.0,,4.471037555697008,2.0,5.71629875623757,1.3208147676639084,1.0,0.8386785773542732,71.68109484404837,0.0,633.9993355441259
mybatis/mybatis-3,1756.0,61067.0,,3.526765375854214,2.0,4.895124734817446,1.2198177676537585,1.0,0.7085760134046661,21.27107061503417,0.0,249.0782540112711
linlinjava/litemall,616.0,90876.0,,4.563311688311688,3.0,5.708862151398301,1.1266233766233766,1.0,0.33282084983785376,1535.3717532467533,1.0,9410.038609069383
ReactiveX/RxAndroid,55.0,1452.0,,2.272727272727273,1.0,3.788161605603482,1.1272727272727272,1.0,0.4326723786023175,3.090909090909091,0.0,11.233667530921775
yudaocode/SpringBoot-Labs,1463.0,17824.0,,4.302118933697881,4.0,2.974407875560328,1.0539986329460014,1.0,0.2727151167094534,1.4634313055365686,0.0,6.869697610756437
dianping/cat,1884.0,97525.0,,5.473460721868365,4.0,5.92929095731987,1.4092356687898089,1.0,0.6515960629832749,23.512208067940552,1.0,106.00817792082694
lionsoul2014/ip2region,48.0,2564.0,,4.104166666666667,4.0,2.9335881981478003,1.2083333333333333,1.0,0.5819385554072728,11.1875,0.0,34.313111599789
Baseflow/PhotoView,45.0,1792.0,,4.733333333333333,3.0,5.544858388223684,1.3555555555555556,1.0,0.5703091488416833,24.6,0.0,157.2585306256721
antlr/antlr4,662.0,41022.0,,5.7009063444108765,3.0,7.163614088022047,1.7915407854984895,1.0,1.1637701711220005,48.30211480362538,0.0,192.86342818684093
YunaiV/yudao-cloud,3976.0,102687.0,,7.8895875251509056,6.0,7.446083414773085,1.2127766599597585,1.0,0.4337900676722328,16.012072434607646,0.0,491.9776600288139
dromara/Sa-Token,765.0,27711.0,,4.443137254901961,3.0,4.458766362413704,1.219607843137255,1.0,0.7718084786312572,60.169934640522875,0.0,694.7135477970735
williamfiset/Algorithms,440.0,32371.0,,2.6931818181818183,2.0,1.7520437434435645,1.0568181818181819,1.0,0.23175838419270084,23.70909090909091,3.0,73.55779287138901
Tencent/APIJSON,70.0,13927.0,,5.914285714285715,3.0,8.67236633729219,1.2428571428571429,1.0,0.6688886366814535,1169.3285714285714,5.5,5422.455456740171
LMAX-Exchange/disruptor,410.0,13167.0,,4.480487804878049,3.0,4.822102713349284,1.2902439024390244,1.0,0.8101751683721469,25.882926829268293,0.0,224.6994862499625
forezp/SpringCloudLearning,140.0,1084.0,,4.6,4.0,2.211155497266876,1.05,1.0,0.21872751683019911,0.4857142857142857,0.0,1.5662157770326874
Tencent/tinker,520.0,40447.0,,4.744230769230769,3.0,7.052921707310812,1.603846153846154,1.0,2.5056361545336503,28.471153846153847,0.0,110.99189825584054
ben-manes/caffeine,1404.0,90403.0,,4.916666666666667,3.0,6.566793177044516,1.5313390313390314,1.0,1.3794182775637325,165.15811965811966,0.0,1791.0070447724102
infinilabs/analysis-ik,38.0,2620.0,,4.815789473684211,4.0,3.593201261526015,1.368421052631579,1.0,0.48885152952935135,18.36842105263158,2.5,38.90002504871811
justauth/JustAuth,198.0,6054.0,,5.51010101010101,2.0,6.031844343369494,1.3434343434343434,1.0,0.5816415796170478,12.984848484848484,6.0,19.53195410590555
baomidou/mybatis-plus,1047.0,39222.0,,5.833810888252149,4.0,9.524602494154784,1.3447946513849092,1.0,0.8125033495151125,25.044890162368674,0.0,151.42685570670193
gyoogle/tech-interview-for-developer,13.0,609.0,,1.3076923076923077,1.0,0.7510676161988107,1.0,1.0,0.0,0.9230769230769231,0.0,3.0403272428457004
material-components/material-components-android,2120.0,119626.0,,7.08066037735849,4.0,8.156422816679566,1.5367924528301886,1.0,0.9833753040027657,93.6127358490566,1.0,963.1453710056122
facebook/fresco,1001.0,46480.0,,6.49050949050949,5.0,6.31412383788597,1.4115884115884116,1.0,0.8913055449314642,27.182817182817182,0.0,120.12430871582796
alibaba/DataX,1222.0,81194.0,,4.436988543371522,3.0,5.6821810157448995,1.5613747954173487,1.0,1.1795753238303326,22.648936170212767,0.0,185.315969393846
nostra13/Android-Universal-Image-Loader,140.0,7434.0,,4.864285714285714,3.0,4.877212782122245,1.5857142857142856,1.0,0.9595091242435793,28.84285714285714,0.5,99.81899239912495
heibaiying/BigData-Notes,77.0,2124.0,,5.714285714285714,5.0,3.5125981644164272,1.2207792207792207,1.0,0.41749177815341537,0.8181818181818182,0.0,1.861855842172936
winterbe/java8-tutorial,88.0,2081.0,,1.0340909090909092,1.0,1.0444034059687686,1.0,1.0,0.0,3.909090909090909,0.0,9.327547094292166
shuzheng/zheng,509.0,41742.0,,4.296660117878193,3.0,5.425262489059642,1.4086444007858545,1.0,0.492066917854408,340.8565815324165,0.0,1786.3429180113305
JeffLi1993/springboot-learning-example,114.0,1585.0,,4.728070175438597,3.0,4.049003128094003,1.043859649122807,1.0,0.24496165050024668,2.56140350877193,0.0,5.850701626057828
ashishps1/awesome-leetcode-resources,11.0,360.0,,1.1818181818181819,1.0,0.40451991747794525,1.0,1.0,0.0,4.7272727272727275,0.0,8.259429872465885
android-hacker/VirtualXposed,1453.0,47736.0,,3.8891947694425326,2.0,5.0552839250904995,2.792842395044735,2.0,11.858632567217098,14.695801789401239,0.0,128.63758845222364
